subj	eksp	size	position	v
7	4	S	22.5	1.04793929058789
7	4	S	22.5	0.904587429287876
7	4	S	22.5	0.911695084458416
7	4	S	22.5	1.01309181394735
7	4	S	22.5	0.899101545293925
7	4	S	22.5	0.849875316277807
7	4	S	22.5	0.912535512192097
8	4	S	22.5	1.00890788510825
8	4	S	22.5	1.04216612302013
8	4	S	22.5	0.95019503921437
8	4	S	22.5	0.914493565879556
8	4	S	22.5	1.06828394655901
8	4	S	22.5	0.756056167755901
8	4	S	22.5	1.00908710721078
8	4	S	22.5	0.90024436232053
8	4	S	22.5	0.88093260722272
8	4	S	22.5	1.08597317903046
9	4	S	22.5	1.12503703663196
9	4	S	22.5	1.05049048823077
9	4	S	22.5	1.11035814936959
9	4	S	22.5	1.47659471273594
9	4	S	22.5	1.16801706303288
9	4	S	22.5	1.37724123894111
9	4	S	22.5	1.27528217783629
9	4	S	22.5	1.30794464575469
9	4	S	22.5	1.07759594215909
9	4	S	22.5	1.20074494791063
10	4	S	22.5	0.870170158114355
10	4	S	22.5	0.786496188644282
10	4	S	22.5	0.818459578113114
10	4	S	22.5	0.930407911003369
10	4	S	22.5	0.922697658447901
10	4	S	22.5	1.11442131393532
10	4	S	22.5	0.935847612656332
10	4	S	22.5	0.971828522699503
10	4	S	22.5	0.994290306396972
10	4	S	22.5	0.934344500307076
1	5	M	22.5	1.21550697362087
1	5	M	22.5	1.23465595595198
1	5	M	22.5	1.11564400781539
1	5	M	22.5	1.24199802465223
1	5	M	22.5	1.30645884106031
1	5	M	22.5	1.3078750203971
1	5	M	22.5	1.31443127682292
1	5	M	22.5	1.18289727608756
1	5	M	22.5	1.45376110585086
1	5	M	22.5	1.32077104682718
2	5	M	22.5	1.07592965538425
2	5	M	22.5	0.977247275355539
2	5	M	22.5	1.02334343900512
2	5	M	22.5	1.16300226247876
2	5	M	22.5	1.07714692861322
2	5	M	22.5	1.08835431115233
2	5	M	22.5	1.29512774071749
2	5	M	22.5	0.973771881065991
2	5	M	22.5	1.09413334232503
2	5	M	22.5	1.09931440718793
3	5	M	22.5	1.26300713047591
3	5	M	22.5	1.58229253808095
3	5	M	22.5	1.34223761741717
3	5	M	22.5	1.35884494888098
3	5	M	22.5	1.26640723619001
3	5	M	22.5	1.35961220432663
3	5	M	22.5	1.34874185993832
3	5	M	22.5	1.33051512706881
3	5	M	22.5	1.5061034436258
3	5	M	22.5	1.35506025110542
4	5	M	22.5	1.30702739096598
4	5	M	22.5	1.34089738848394
4	5	M	22.5	1.14580281902367
4	5	M	22.5	1.2965335706085
4	5	M	22.5	1.15698813297806
4	5	M	22.5	1.11421361664156
4	5	M	22.5	1.19195033819369
4	5	M	22.5	1.07835974116666
4	5	M	22.5	0.97356730678543
4	5	M	22.5	1.15169004783328
5	5	M	22.5	0.963866921177447
5	5	M	22.5	0.894330402636174
5	5	M	22.5	0.972933622034934
5	5	M	22.5	0.795297878414521
5	5	M	22.5	0.697797403544863
5	5	M	22.5	0.82529276443773
5	5	M	22.5	0.725219449999998
5	5	M	22.5	0.761948662364378
5	5	M	22.5	0.752344853673007
5	5	M	22.5	0.8221288693228
6	5	M	22.5	0.989219990345971
6	5	M	22.5	0.890719007557217
6	5	M	22.5	0.985128303386814
6	5	M	22.5	1.02615615303958
6	5	M	22.5	1.03594820887267
6	5	M	22.5	1.06438188219192
6	5	M	22.5	1.09355780660557
6	5	M	22.5	0.982253462663621
6	5	M	22.5	0.957659213026058
6	5	M	22.5	1.02274158222871
7	5	M	22.5	1.20345028931599
7	5	M	22.5	1.06178768969121
7	5	M	22.5	1.10639957085518
7	5	M	22.5	1.16522102940323
7	5	M	22.5	1.12215197851986
7	5	M	22.5	1.1364458101185
7	5	M	22.5	1.26844266029621
7	5	M	22.5	1.18018082504365
7	5	M	22.5	1.06351447224236
7	5	M	22.5	1.10840056899259
8	5	M	22.5	0.987727679992656
8	5	M	22.5	1.34775988665059
8	5	M	22.5	1.33856620648104
8	5	M	22.5	1.22432337207167
8	5	M	22.5	1.24475924845474
8	5	M	22.5	1.18278816182904
8	5	M	22.5	1.12323253071781
8	5	M	22.5	1.22670765762696
8	5	M	22.5	1.24935256137511
8	5	M	22.5	1.23124728925826
9	5	M	22.5	1.45439431686808
9	5	M	22.5	1.36102256650944
9	5	M	22.5	1.23696344345385
9	5	M	22.5	1.34529432665795
9	5	M	22.5	1.3377519003485
9	5	M	22.5	1.47207419263762
9	5	M	22.5	1.45939172484868
9	5	M	22.5	1.50047358072197
9	5	M	22.5	1.46892560186803
9	5	M	22.5	1.45182738085787
10	5	M	22.5	1.08325507897396
10	5	M	22.5	1.0199805091563
10	5	M	22.5	1.17491652930444
10	5	M	22.5	1.1000454044429
10	5	M	22.5	1.19452350156634
10	5	M	22.5	1.31787003072737
10	5	M	22.5	1.25182317573774
10	5	M	22.5	1.20099012490358
10	5	M	22.5	1.24000338896188
10	5	M	22.5	1.18108467160801
1	6	T	22.5	1.52624358498245
1	6	T	22.5	1.56214764287885
1	6	T	22.5	1.30977168757996
1	6	T	22.5	1.42523854120174
1	6	T	22.5	1.37064329964526
1	6	T	22.5	1.26513710001194
1	6	T	22.5	1.43027670716437
1	6	T	22.5	1.24071512108271
1	6	T	22.5	1.26358620330378
1	6	T	22.5	1.36809662937612
2	6	T	22.5	1.13336780655982
2	6	T	22.5	1.40564644230751
2	6	T	22.5	1.30361885300412
2	6	T	22.5	1.2967540539757
2	6	T	22.5	1.29425388176453
2	6	T	22.5	1.2846721947552
2	6	T	22.5	1.2783374040384
2	6	T	22.5	1.23083316149738
2	6	T	22.5	1.22266784050532
2	6	T	22.5	1.22305052259176
3	6	T	22.5	1.31591121690792
3	6	T	22.5	1.46917850248242
3	6	T	22.5	1.37318785425735
3	6	T	22.5	1.48196447709802
3	6	T	22.5	1.61261844720026
3	6	T	22.5	1.69716098760477
3	6	T	22.5	1.41082337015336
3	6	T	22.5	1.52559858560065
3	6	T	22.5	1.65770408738497
